Geracao    0 | melhor atual: 53 | melhor global: 53
Geracao   50 | melhor atual: 35 | melhor global: 35
Geracao  100 | melhor atual: 33 | melhor global: 33
Geracao  150 | melhor atual: 33 | melhor global: 33
Geracao  200 | melhor atual: 33 | melhor global: 33
Geracao  250 | melhor atual: 33 | melhor global: 33
Geracao  300 | melhor atual: 33 | melhor global: 33
Geracao  350 | melhor atual: 33 | melhor global: 33
Geracao  400 | melhor atual: 33 | melhor global: 33
Geracao  450 | melhor atual: 33 | melhor global: 33
Geracao  500 | melhor atual: 33 | melhor global: 33
Geracao  550 | melhor atual: 33 | melhor global: 33
Geracao  600 | melhor atual: 33 | melhor global: 33
Geracao  650 | melhor atual: 33 | melhor global: 33
Geracao  700 | melhor atual: 33 | melhor global: 33
Geracao  750 | melhor atual: 33 | melhor global: 33
Geracao  800 | melhor atual: 33 | melhor global: 33
Geracao  850 | melhor atual: 33 | melhor global: 33
Geracao  900 | melhor atual: 33 | melhor global: 33
Geracao  950 | melhor atual: 33 | melhor global: 33
Geracao 1000 | melhor atual: 33 | melhor global: 33
Geracao 1050 | melhor atual: 33 | melhor global: 33
Geracao 1100 | melhor atual: 33 | melhor global: 33
Geracao 1150 | melhor atual: 33 | melhor global: 33
Geracao 1200 | melhor atual: 33 | melhor global: 33
Geracao 1250 | melhor atual: 33 | melhor global: 33
Geracao 1300 | melhor atual: 33 | melhor global: 33
Geracao 1350 | melhor atual: 33 | melhor global: 33
Geracao 1400 | melhor atual: 33 | melhor global: 33
Geracao 1450 | melhor atual: 33 | melhor global: 33
Geracao 1500 | melhor atual: 33 | melhor global: 33
Geracao 1550 | melhor atual: 33 | melhor global: 33
Geracao 1600 | melhor atual: 33 | melhor global: 33
Geracao 1650 | melhor atual: 33 | melhor global: 33
Geracao 1700 | melhor atual: 33 | melhor global: 33
Geracao 1750 | melhor atual: 33 | melhor global: 33
Geracao 1800 | melhor atual: 33 | melhor global: 33
Geracao 1850 | melhor atual: 33 | melhor global: 33
Geracao 1900 | melhor atual: 33 | melhor global: 33
Geracao 1950 | melhor atual: 33 | melhor global: 33
Geracao 2000 | melhor atual: 33 | melhor global: 33
Geracao 2050 | melhor atual: 33 | melhor global: 33
Geracao 2100 | melhor atual: 33 | melhor global: 33
Geracao 2150 | melhor atual: 33 | melhor global: 33
Geracao 2200 | melhor atual: 33 | melhor global: 33
Geracao 2250 | melhor atual: 33 | melhor global: 33
Geracao 2300 | melhor atual: 33 | melhor global: 33
Geracao 2350 | melhor atual: 33 | melhor global: 33
Geracao 2400 | melhor atual: 33 | melhor global: 33
Geracao 2450 | melhor atual: 33 | melhor global: 33
Geracao 2500 | melhor atual: 33 | melhor global: 33
Geracao 2550 | melhor atual: 33 | melhor global: 33
Geracao 2600 | melhor atual: 33 | melhor global: 33
Geracao 2650 | melhor atual: 33 | melhor global: 33
Geracao 2700 | melhor atual: 33 | melhor global: 33
Geracao 2750 | melhor atual: 33 | melhor global: 33
Geracao 2800 | melhor atual: 33 | melhor global: 33
Geracao 2850 | melhor atual: 33 | melhor global: 33
Geracao 2900 | melhor atual: 33 | melhor global: 33
Geracao 2950 | melhor atual: 33 | melhor global: 33
Geracao 3000 | melhor atual: 33 | melhor global: 33
Geracao 3050 | melhor atual: 33 | melhor global: 33
Geracao 3100 | melhor atual: 33 | melhor global: 33
Geracao 3150 | melhor atual: 33 | melhor global: 33
Geracao 3200 | melhor atual: 33 | melhor global: 33
Geracao 3250 | melhor atual: 33 | melhor global: 33
Geracao 3300 | melhor atual: 33 | melhor global: 33
Geracao 3350 | melhor atual: 33 | melhor global: 33
Geracao 3400 | melhor atual: 33 | melhor global: 33
Geracao 3450 | melhor atual: 33 | melhor global: 33
Geracao 3500 | melhor atual: 33 | melhor global: 33
Geracao 3550 | melhor atual: 33 | melhor global: 33
Geracao 3600 | melhor atual: 33 | melhor global: 33
Geracao 3650 | melhor atual: 33 | melhor global: 33
Geracao 3700 | melhor atual: 33 | melhor global: 33
Geracao 3750 | melhor atual: 33 | melhor global: 33
Geracao 3800 | melhor atual: 33 | melhor global: 33
Geracao 3850 | melhor atual: 33 | melhor global: 33
Geracao 3900 | melhor atual: 33 | melhor global: 33
Geracao 3950 | melhor atual: 33 | melhor global: 33
Geracao 4000 | melhor atual: 33 | melhor global: 33
Geracao 4050 | melhor atual: 33 | melhor global: 33
Geracao 4100 | melhor atual: 33 | melhor global: 33
Geracao 4150 | melhor atual: 33 | melhor global: 33
Geracao 4200 | melhor atual: 33 | melhor global: 33
Geracao 4250 | melhor atual: 33 | melhor global: 33
Geracao 4300 | melhor atual: 33 | melhor global: 33
Geracao 4350 | melhor atual: 33 | melhor global: 33
Geracao 4400 | melhor atual: 33 | melhor global: 33
Geracao 4450 | melhor atual: 33 | melhor global: 33
Geracao 4500 | melhor atual: 33 | melhor global: 33
Geracao 4550 | melhor atual: 33 | melhor global: 33
Geracao 4600 | melhor atual: 33 | melhor global: 33
Geracao 4650 | melhor atual: 33 | melhor global: 33
Geracao 4700 | melhor atual: 33 | melhor global: 33
Geracao 4750 | melhor atual: 33 | melhor global: 33
Geracao 4800 | melhor atual: 33 | melhor global: 33
Geracao 4850 | melhor atual: 33 | melhor global: 33
Geracao 4900 | melhor atual: 33 | melhor global: 33
Geracao 4950 | melhor atual: 33 | melhor global: 33
Geracao 5000 | melhor atual: 33 | melhor global: 33
Geracao 5050 | melhor atual: 33 | melhor global: 33
Geracao 5100 | melhor atual: 33 | melhor global: 33
Geracao 5150 | melhor atual: 33 | melhor global: 33
Geracao 5200 | melhor atual: 33 | melhor global: 33
Geracao 5250 | melhor atual: 33 | melhor global: 33
Geracao 5300 | melhor atual: 33 | melhor global: 33
Geracao 5350 | melhor atual: 33 | melhor global: 33
Geracao 5400 | melhor atual: 33 | melhor global: 33
Geracao 5450 | melhor atual: 33 | melhor global: 33
Geracao 5500 | melhor atual: 33 | melhor global: 33
Geracao 5550 | melhor atual: 33 | melhor global: 33
Geracao 5600 | melhor atual: 33 | melhor global: 33
Geracao 5650 | melhor atual: 33 | melhor global: 33
Geracao 5700 | melhor atual: 33 | melhor global: 33
Geracao 5750 | melhor atual: 33 | melhor global: 33
Geracao 5800 | melhor atual: 33 | melhor global: 33
Geracao 5850 | melhor atual: 33 | melhor global: 33
Geracao 5900 | melhor atual: 33 | melhor global: 33
Geracao 5950 | melhor atual: 33 | melhor global: 33
Geracao 6000 | melhor atual: 33 | melhor global: 33
Geracao 6050 | melhor atual: 33 | melhor global: 33
Geracao 6100 | melhor atual: 33 | melhor global: 33
Geracao 6150 | melhor atual: 33 | melhor global: 33
Geracao 6200 | melhor atual: 33 | melhor global: 33
Geracao 6250 | melhor atual: 33 | melhor global: 33
Geracao 6300 | melhor atual: 33 | melhor global: 33
Geracao 6350 | melhor atual: 33 | melhor global: 33
Geracao 6400 | melhor atual: 33 | melhor global: 33
Geracao 6450 | melhor atual: 33 | melhor global: 33
Geracao 6500 | melhor atual: 33 | melhor global: 33
Geracao 6550 | melhor atual: 33 | melhor global: 33
Geracao 6600 | melhor atual: 33 | melhor global: 33
Geracao 6650 | melhor atual: 33 | melhor global: 33
Geracao 6700 | melhor atual: 33 | melhor global: 33
Geracao 6750 | melhor atual: 33 | melhor global: 33
Geracao 6800 | melhor atual: 33 | melhor global: 33
Geracao 6850 | melhor atual: 33 | melhor global: 33
Geracao 6900 | melhor atual: 33 | melhor global: 33
Geracao 6950 | melhor atual: 33 | melhor global: 33
Geracao 7000 | melhor atual: 33 | melhor global: 33
Geracao 7050 | melhor atual: 33 | melhor global: 33
Geracao 7100 | melhor atual: 33 | melhor global: 33
Geracao 7150 | melhor atual: 33 | melhor global: 33
Geracao 7200 | melhor atual: 33 | melhor global: 33
Geracao 7250 | melhor atual: 33 | melhor global: 33
Geracao 7300 | melhor atual: 33 | melhor global: 33
Geracao 7350 | melhor atual: 33 | melhor global: 33
Geracao 7400 | melhor atual: 33 | melhor global: 33
Geracao 7450 | melhor atual: 33 | melhor global: 33
Geracao 7500 | melhor atual: 33 | melhor global: 33
Geracao 7550 | melhor atual: 33 | melhor global: 33
Geracao 7600 | melhor atual: 33 | melhor global: 33
Geracao 7650 | melhor atual: 33 | melhor global: 33
Geracao 7700 | melhor atual: 33 | melhor global: 33
Geracao 7750 | melhor atual: 33 | melhor global: 33
Geracao 7800 | melhor atual: 33 | melhor global: 33
Geracao 7850 | melhor atual: 33 | melhor global: 33
Geracao 7900 | melhor atual: 33 | melhor global: 33
Geracao 7950 | melhor atual: 33 | melhor global: 33
Geracao 8000 | melhor atual: 33 | melhor global: 33
Geracao 8050 | melhor atual: 33 | melhor global: 33
Geracao 8100 | melhor atual: 33 | melhor global: 33
Geracao 8150 | melhor atual: 33 | melhor global: 33
Geracao 8200 | melhor atual: 33 | melhor global: 33
Geracao 8250 | melhor atual: 33 | melhor global: 33
Geracao 8300 | melhor atual: 33 | melhor global: 33
Geracao 8350 | melhor atual: 33 | melhor global: 33
Geracao 8400 | melhor atual: 33 | melhor global: 33
Geracao 8450 | melhor atual: 33 | melhor global: 33
Geracao 8500 | melhor atual: 33 | melhor global: 33
Geracao 8550 | melhor atual: 33 | melhor global: 33
Geracao 8600 | melhor atual: 33 | melhor global: 33
Geracao 8650 | melhor atual: 33 | melhor global: 33
Geracao 8700 | melhor atual: 33 | melhor global: 33
Geracao 8750 | melhor atual: 33 | melhor global: 33
Geracao 8800 | melhor atual: 33 | melhor global: 33
Geracao 8850 | melhor atual: 33 | melhor global: 33
Geracao 8900 | melhor atual: 33 | melhor global: 33
Geracao 8950 | melhor atual: 33 | melhor global: 33
Geracao 9000 | melhor atual: 33 | melhor global: 33
Geracao 9050 | melhor atual: 33 | melhor global: 33
Geracao 9100 | melhor atual: 33 | melhor global: 33
Geracao 9150 | melhor atual: 33 | melhor global: 33
Geracao 9200 | melhor atual: 33 | melhor global: 33
Geracao 9250 | melhor atual: 33 | melhor global: 33
Geracao 9300 | melhor atual: 33 | melhor global: 33
Geracao 9350 | melhor atual: 33 | melhor global: 33
Geracao 9400 | melhor atual: 33 | melhor global: 33
Geracao 9450 | melhor atual: 33 | melhor global: 33
Geracao 9500 | melhor atual: 33 | melhor global: 33
Geracao 9550 | melhor atual: 33 | melhor global: 33
Geracao 9600 | melhor atual: 33 | melhor global: 33
Geracao 9650 | melhor atual: 33 | melhor global: 33
Geracao 9700 | melhor atual: 33 | melhor global: 33
Geracao 9750 | melhor atual: 33 | melhor global: 33
Geracao 9800 | melhor atual: 33 | melhor global: 33
Geracao 9850 | melhor atual: 33 | melhor global: 33
Geracao 9900 | melhor atual: 33 | melhor global: 33
Geracao 9950 | melhor atual: 33 | melhor global: 33
Geracao 10000 | melhor atual: 33 | melhor global: 33
Geracao 10050 | melhor atual: 33 | melhor global: 33
Geracao 10100 | melhor atual: 33 | melhor global: 33
Geracao 10150 | melhor atual: 33 | melhor global: 33
Geracao 10200 | melhor atual: 33 | melhor global: 33
Geracao 10250 | melhor atual: 33 | melhor global: 33
Geracao 10300 | melhor atual: 33 | melhor global: 33
Geracao 10350 | melhor atual: 33 | melhor global: 33
Geracao 10400 | melhor atual: 33 | melhor global: 33
Geracao 10450 | melhor atual: 33 | melhor global: 33
Geracao 10500 | melhor atual: 33 | melhor global: 33
Geracao 10550 | melhor atual: 33 | melhor global: 33
Geracao 10600 | melhor atual: 33 | melhor global: 33
Geracao 10650 | melhor atual: 33 | melhor global: 33
Geracao 10700 | melhor atual: 33 | melhor global: 33
Geracao 10750 | melhor atual: 33 | melhor global: 33
Geracao 10800 | melhor atual: 33 | melhor global: 33
Geracao 10850 | melhor atual: 33 | melhor global: 33
Geracao 10900 | melhor atual: 33 | melhor global: 33
Geracao 10950 | melhor atual: 33 | melhor global: 33
Geracao 11000 | melhor atual: 33 | melhor global: 33
Geracao 11050 | melhor atual: 33 | melhor global: 33
Geracao 11100 | melhor atual: 33 | melhor global: 33
Geracao 11150 | melhor atual: 33 | melhor global: 33
Geracao 11200 | melhor atual: 33 | melhor global: 33
Geracao 11250 | melhor atual: 33 | melhor global: 33
Geracao 11300 | melhor atual: 33 | melhor global: 33
Geracao 11350 | melhor atual: 33 | melhor global: 33
Geracao 11400 | melhor atual: 33 | melhor global: 33
Geracao 11450 | melhor atual: 33 | melhor global: 33
Geracao 11500 | melhor atual: 33 | melhor global: 33
Geracao 11550 | melhor atual: 33 | melhor global: 33
Geracao 11600 | melhor atual: 33 | melhor global: 33
Geracao 11650 | melhor atual: 33 | melhor global: 33
Geracao 11700 | melhor atual: 33 | melhor global: 33
Geracao 11750 | melhor atual: 33 | melhor global: 33
Geracao 11800 | melhor atual: 33 | melhor global: 33
Geracao 11850 | melhor atual: 33 | melhor global: 33
Geracao 11900 | melhor atual: 33 | melhor global: 33
Geracao 11950 | melhor atual: 33 | melhor global: 33
Geracao 12000 | melhor atual: 33 | melhor global: 33
Geracao 12050 | melhor atual: 33 | melhor global: 33
Geracao 12100 | melhor atual: 33 | melhor global: 33
Geracao 12150 | melhor atual: 33 | melhor global: 33
Geracao 12200 | melhor atual: 33 | melhor global: 33
Geracao 12250 | melhor atual: 33 | melhor global: 33
Geracao 12300 | melhor atual: 33 | melhor global: 33
Geracao 12350 | melhor atual: 33 | melhor global: 33
Geracao 12400 | melhor atual: 33 | melhor global: 33
Geracao 12450 | melhor atual: 33 | melhor global: 33
Geracao 12500 | melhor atual: 33 | melhor global: 33
Geracao 12550 | melhor atual: 33 | melhor global: 33
Geracao 12600 | melhor atual: 33 | melhor global: 33
Geracao 12650 | melhor atual: 33 | melhor global: 33
Geracao 12700 | melhor atual: 33 | melhor global: 33
Geracao 12750 | melhor atual: 33 | melhor global: 33
Geracao 12800 | melhor atual: 33 | melhor global: 33
Geracao 12850 | melhor atual: 33 | melhor global: 33
Geracao 12900 | melhor atual: 33 | melhor global: 33
Geracao 12950 | melhor atual: 33 | melhor global: 33
Geracao 13000 | melhor atual: 33 | melhor global: 33
Geracao 13050 | melhor atual: 33 | melhor global: 33
Geracao 13100 | melhor atual: 33 | melhor global: 33
Geracao 13150 | melhor atual: 33 | melhor global: 33
Geracao 13200 | melhor atual: 33 | melhor global: 33
Geracao 13250 | melhor atual: 33 | melhor global: 33
Geracao 13300 | melhor atual: 33 | melhor global: 33
Geracao 13350 | melhor atual: 33 | melhor global: 33
Geracao 13400 | melhor atual: 33 | melhor global: 33
Geracao 13450 | melhor atual: 33 | melhor global: 33
Geracao 13500 | melhor atual: 33 | melhor global: 33
Geracao 13550 | melhor atual: 33 | melhor global: 33
Geracao 13600 | melhor atual: 33 | melhor global: 33
Geracao 13650 | melhor atual: 33 | melhor global: 33
Geracao 13700 | melhor atual: 33 | melhor global: 33
Geracao 13750 | melhor atual: 33 | melhor global: 33
Geracao 13800 | melhor atual: 33 | melhor global: 33
Geracao 13850 | melhor atual: 33 | melhor global: 33
Geracao 13900 | melhor atual: 33 | melhor global: 33
Geracao 13950 | melhor atual: 33 | melhor global: 33
Geracao 14000 | melhor atual: 33 | melhor global: 33
Geracao 14050 | melhor atual: 33 | melhor global: 33
Geracao 14100 | melhor atual: 33 | melhor global: 33
Geracao 14150 | melhor atual: 33 | melhor global: 33
Geracao 14200 | melhor atual: 33 | melhor global: 33
Geracao 14250 | melhor atual: 33 | melhor global: 33
Geracao 14300 | melhor atual: 33 | melhor global: 33
Geracao 14350 | melhor atual: 33 | melhor global: 33
Geracao 14400 | melhor atual: 33 | melhor global: 33
Geracao 14450 | melhor atual: 33 | melhor global: 33
Geracao 14500 | melhor atual: 33 | melhor global: 33
Geracao 14550 | melhor atual: 33 | melhor global: 33
Geracao 14600 | melhor atual: 33 | melhor global: 33
Geracao 14650 | melhor atual: 33 | melhor global: 33
Geracao 14700 | melhor atual: 33 | melhor global: 33
Geracao 14750 | melhor atual: 33 | melhor global: 33
Geracao 14800 | melhor atual: 33 | melhor global: 33
Geracao 14850 | melhor atual: 33 | melhor global: 33
Geracao 14900 | melhor atual: 33 | melhor global: 33
Geracao 14950 | melhor atual: 33 | melhor global: 33
Geracao 15000 | melhor atual: 33 | melhor global: 33
Geracao 15050 | melhor atual: 33 | melhor global: 33
Geracao 15100 | melhor atual: 33 | melhor global: 33
Geracao 15150 | melhor atual: 33 | melhor global: 33
Geracao 15200 | melhor atual: 33 | melhor global: 33
Geracao 15250 | melhor atual: 33 | melhor global: 33
Geracao 15300 | melhor atual: 33 | melhor global: 33
Geracao 15350 | melhor atual: 33 | melhor global: 33
Geracao 15400 | melhor atual: 33 | melhor global: 33
Geracao 15450 | melhor atual: 33 | melhor global: 33
Geracao 15500 | melhor atual: 33 | melhor global: 33
Geracao 15550 | melhor atual: 33 | melhor global: 33
Geracao 15600 | melhor atual: 33 | melhor global: 33
Geracao 15650 | melhor atual: 33 | melhor global: 33
Geracao 15700 | melhor atual: 33 | melhor global: 33
Geracao 15750 | melhor atual: 33 | melhor global: 33
Geracao 15800 | melhor atual: 33 | melhor global: 33
Geracao 15850 | melhor atual: 33 | melhor global: 33
Geracao 15900 | melhor atual: 33 | melhor global: 33
Geracao 15950 | melhor atual: 33 | melhor global: 33
Geracao 15999 | melhor atual: 33 | melhor global: 33

=== Resultado final ===
Custo: 33
Rota:  [6, 1, 11, 4, 7, 13, 9, 5, 3, 10, 12, 2, 8]
